地區,村莊,名稱,貢獻,用途,用途等級,格數,CP值
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-3號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-1號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-2號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞5-1號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-1號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-1號,1,倉庫,1,3,3
巴雷諾斯自治領,奧爾比亞村莊,卡斯塔農場1號,1,倉庫,1,3,3
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-1號,托斯卡尼農場",3,倉庫,3,8,2.67
巴雷諾斯自治領,伊利亞島,伊利亞島3號,3,倉庫,3,8,2.67
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-4號,3,倉庫,3,8,2.67
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-4號,3,倉庫,3,8,2.67
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-2號,2,倉庫,2,5,2.5
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-2號,2,倉庫,2,5,2.5
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-2號1樓,2,倉庫,2,5,2.5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯2-2號,品特農場",2,倉庫,2,5,2.5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯1-1號,巴特利農場",2,倉庫,2,5,2.5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-1號,戴爾魯茲農場",2,倉庫,2,5,2.5
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-1號,洛基亞農場",2,倉庫,2,5,2.5
巴雷諾斯自治領,伊利亞島,伊利亞島2-1號,2,倉庫,2,5,2.5
巴雷諾斯自治領,伊利亞島,伊利亞島5號,2,倉庫,2,5,2.5
巴雷諾斯自治領,伊利亞島,伊利亞島6-2號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-3號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-3號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-2號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-3號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-2號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,卡斯塔農場2號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,維利爾農場1號,2,倉庫,2,5,2.5
巴雷諾斯自治領,奧爾比亞村莊,維利爾農場2號,2,倉庫,2,5,2.5
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號2號室,1,宿舍,2,2,2
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號3號室,1,宿舍,2,2,2
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-4號,1,宿舍,2,2,2
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-3號,2,宿舍,3,4,2
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞4號,3,倉庫,2,5,1.67
巴雷諾斯自治領,伊利亞島,伊利亞島4-1號,3,倉庫,2,5,1.67
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-1號,3,倉庫,2,5,1.67
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-3號,3,倉庫,3,8,2.67
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-2號2樓,2,倉庫,3,8,4
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯5號,瑪里諾農場",2,倉庫,1,3,1.5
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-2號1樓,2,倉庫,1,3,1.5
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號1號室,1,宿舍,1,1,1
巴雷諾斯自治領,伊利亞島,伊利亞島4-2號,1,宿舍,1,1,1
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-3號,1,宿舍,1,1,1
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-1號,1,宿舍,1,1,1
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-2號,2,宿舍,2,2,1
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-1號,1,宿舍,1,1,1
巴雷諾斯自治領,奧爾比亞村莊,維利爾農場1號,2,宿舍,2,2,1
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞4號,3,馬牧場,2,2,0.67
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-1號,托斯卡尼農場",3,宿舍,2,2,0.67
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-1號,3,宿舍,2,2,0.67
巴雷諾斯自治領,伊利亞島,伊利亞島6-2號,2,宿舍,1,1,0.5
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞4號,3,武器鍛造工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞4號,3,盔甲鍛造工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞4號,3,安全性資產管理所,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞4號,3,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-2號,2,木工藝工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-2號,2,家具工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-2號,2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-1號,1,精鍊廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-1號,1,礦物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-1號,1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-2號,2,手工藝工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-2號,2,蘑菇加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞5-2號,2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-1號,1,精鍊廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-1號,1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-3號,3,馬車製作廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-3號,3,家具工坊,2,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-3號,3,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-1號,1,精鍊廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-1號,1,木材加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞2-1號,1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-2號1樓,2,手工藝工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-2號1樓,2,工具工坊,2,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-2號1樓,2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-2號2樓,2,造船廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞3-2號2樓,2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號1號室,1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號2號室,1,家具工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號2號室,1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號3號室,1,魚加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,貝爾利亞1號3號室,1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯2-1號,品特農場",1,農作物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯2-1號,品特農場",1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯2-2號,品特農場",2,工具工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯2-2號,品特農場",2,木材加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯2-2號,品特農場",2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯1-1號,巴特利農場",2,農作物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯1-1號,巴特利農場",2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯1-2號,巴特利農場",1,工具工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯1-2號,巴特利農場",1,精鍊廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯1-2號,巴特利農場",1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-1號,戴爾魯茲農場",2,農作物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-1號,戴爾魯茲農場",2,木材加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-1號,戴爾魯茲農場",2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-2號,戴爾魯茲農場",1,家具工坊,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-2號,戴爾魯茲農場",1,木材加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯4-2號,戴爾魯茲農場",1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-1號,洛基亞農場",2,魚加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-1號,洛基亞農場",2,農作物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-1號,洛基亞農場",2,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-2號,洛基亞農場",1,精鍊廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-2號,洛基亞農場",1,礦物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯3-2號,洛基亞農場",1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯5號,瑪里諾農場",2,礦物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯5號,瑪里諾農場",2,居住地,1,,0
巴雷諾斯自治領,伊利亞島,雷瑪島1號,1,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-1號,托斯卡尼農場",3,精鍊廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-1號,托斯卡尼農場",3,農作物加工廠,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-1號,托斯卡尼農場",3,居住地,1,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-2號,托斯卡尼農場",3,工具工坊,2,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-2號,托斯卡尼農場",3,精鍊廠,2,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-2號,托斯卡尼農場",3,家具工坊,4,,0
巴雷諾斯自治領,貝爾利亞村莊,"巴雷諾斯6-2號,托斯卡尼農場",3,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島1-1號,1,精鍊廠,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島1-1號,1,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島1-2號,1,礦物加工廠,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島1-2號,1,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島2-1號,2,武器鍛造工坊,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島2-1號,2,盔甲鍛造工坊,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島2-1號,2,船舶零件工坊,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島2-1號,2,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島2-2號,2,精鍊廠,3,,0
巴雷諾斯自治領,伊利亞島,伊利亞島2-2號,2,船舶零件工坊,2,,0
巴雷諾斯自治領,伊利亞島,伊利亞島2-2號,2,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島3號,3,造船廠,2,,0
巴雷諾斯自治領,伊利亞島,伊利亞島3號,3,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島4-1號,3,精鍊廠,2,,0
巴雷諾斯自治領,伊利亞島,伊利亞島4-1號,3,工具工坊,2,,0
巴雷諾斯自治領,伊利亞島,伊利亞島4-1號,3,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島4-2號,1,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島5號,2,木材加工廠,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島5號,2,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島6-1號,1,農作物加工廠,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島6-1號,1,居住地,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島6-2號,2,工具工坊,1,,0
巴雷諾斯自治領,伊利亞島,伊利亞島6-2號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-1號,1,木材加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-1號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-2號,1,蘑菇加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-2號,1,農作物加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-2號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-3號,2,家具工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞1-3號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-1號,3,家具工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-1號,3,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-2號,1,精鍊廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-2號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-3號,1,木工藝工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-3號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-4號,1,家具工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-4號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-5號1樓,2,手工藝工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-5號1樓,2,木工藝工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-5號1樓,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-5號2樓,2,精鍊廠,3,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞2-5號2樓,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-1號,1,精鍊廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-1號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-2號,1,工具工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-2號,1,礦物加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-2號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-3號,2,手工藝工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-3號,2,馬具製作工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-3號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-4號,3,工具工坊,3,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞3-4號,3,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞5-1號,1,手工藝工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞5-1號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞5-2號,1,家具工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞5-2號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-1號,1,精鍊廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-1號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-2號,2,家具工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-2號,2,木材加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-2號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-3號,2,加工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-3號,2,工具工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-3號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-4號,3,馬車製作廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞4-4號,3,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-1號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-2號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-3號,2,精鍊廠,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞6-3號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-1號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-2號2樓,1,工具工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-2號2樓,1,礦物加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-2號2樓,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-2號1樓,2,精鍊廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-2號1樓,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-3號,1,加工坊,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-3號,1,農作物加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-3號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-4號,2,家具工坊,3,,0
巴雷諾斯自治領,奧爾比亞村莊,奧爾比亞7-4號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,卡斯塔農場1號,1,礦物加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,卡斯塔農場1號,1,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,卡斯塔農場2號,2,蘑菇加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,卡斯塔農場2號,2,農作物加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,卡斯塔農場2號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,維利爾農場1號,2,魚加工廠,1,,0
巴雷諾斯自治領,奧爾比亞村莊,維利爾農場1號,2,居住地,1,,0
巴雷諾斯自治領,奧爾比亞村莊,維利爾農場2號,2,工具工坊,2,,0
巴雷諾斯自治領,奧爾比亞村莊,維利爾農場2號,2,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號1號室,1,倉庫,1,3,3
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號1號室,1,精鍊廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號1號室,1,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號2號室,2,倉庫,2,5,2.5
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號2號室,2,武器鍛造工坊,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號2號室,2,攻城武器製作廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號2號室,2,礦物加工廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-1號2號室,2,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號1樓,2,倉庫,2,5,2.5
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號1樓,2,加工坊,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號1樓,2,工具工坊,2,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號1樓,2,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號地下,1,倉庫,1,3,3
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號地下,1,精鍊廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號地下,1,木材加工廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-2號地下,1,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-3號,2,倉庫,2,5,2.5
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-3號,2,馬具製作工坊,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-3號,2,家具工坊,2,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-3號,2,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-3號,2,殘月家具工坊,3,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-4號1樓,3,倉庫,3,8,2.67
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-4號1樓,3,手工藝工坊,2,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-4號1樓,3,工具工坊,3,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-4號1樓,3,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-4號2樓,1,倉庫,3,8,8
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-4號2樓,1,盔甲鍛造工坊,3,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-4號2樓,1,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號1樓,2,倉庫,3,8,4
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號1樓,2,木工藝工坊,3,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號1樓,2,木材加工廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號1樓,2,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號2樓,3,倉庫,4,12,4
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號2樓,3,手工藝工坊,3,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號2樓,3,加工坊,3,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-5號2樓,3,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-6號1樓,4,倉庫,5,16,4
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-6號1樓,4,馬車製作廠,3,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區1-6號1樓,4,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區2-1號1樓,1,倉庫,1,3,3
卡爾佩恩直轄領,卡爾佩恩首都,工坊區2-1號1樓,1,精鍊廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區2-1號1樓,1,居住地,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區2-1號2樓,2,倉庫,2,5,2.5
卡爾佩恩直轄領,卡爾佩恩首都,工坊區2-1號2樓,2,盔甲鍛造工坊,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區2-1號2樓,2,礦物加工廠,1,,0
卡爾佩恩直轄領,卡爾佩恩首都,工坊區2-1號2樓,2,居住地,1,,0
